code,display
03,"measles, mumps and rubella virus vaccine (MMR)"
08,"hepatitis B vaccine, pediatric or pediatric/adolescent dosage"
10,"poliovirus vaccine, inactivated (IPV)"
20,"diphtheria, tetanus toxoids and acellular pertussis vaccine (DTaP)"
21,"varicella virus vaccine"
33,"pneumococcal polysaccharide vaccine, 23 valent"
43,"hepatitis B vaccine, adult dosage"
49,"Haemophilus influenzae type b vaccine, PRP-OMP conjugate"
62,"human papillomavirus vaccine, quadrivalent"
83,"hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule"
88,"influenza virus vaccine, unspecified formulation"
110,"DTaP-hepatitis B and poliovirus vaccine"
115,"tetanus toxoid, reduced diphtheria toxoid, and acellular pertussis vaccine, adsorbed (Tdap)"
116,"rotavirus vaccine, pentavalent"
121,"zoster vaccine, live"
133,"pneumococcal conjugate vaccine, 13 valent"
141,"influenza, seasonal, injectable"
150,"influenza, injectable, quadrivalent, preservative free"
187,"zoster vaccine recombinant"
208,"COVID-19, mRNA, LNP-S, PF, 30 mcg/0.3 mL dose"
